Partition,Algorithm,BlendWeight,BuildTime,TestTime,NUsers,NAttempted,NGood,Coverage,RMSE.ByUser,RMSE.ByRating,Predict.nDCG,TopN.nDCG,MAP,MRR
4,lucene-svd-blend,0.2,0.1,291.522,172,860,860,1.0,0.697008649781671,0.770668176649476,0.9751223953664498,0.035211865502911374,0.045688537609885276,0.04561275744689581
4,ii-svd-blend,0.4,0.363,454.848,172,860,860,1.0,0.6903725947910091,0.7638507437897941,0.9737974211249801,0.0636172170210842,0.10244632415329154,0.11314194313379428
1,lucene-svd-blend,0.2,0.328,285.226,173,865,865,1.0,0.7136005518672781,0.8153412262932005,0.9713599007201205,0.03957674889817878,0.04981917701843597,0.05492521750784946
4,svd,,27.447,0.841,172,860,860,1.0,0.7064680479659878,0.7826210115807439,0.9729553057324728,0.051983508148902166,0.09048405958884456,0.09688818005830883
4,lucene-svd-blend,0.1,0.10400000000000001,292.373,172,860,860,1.0,0.7051237448092743,0.7801216448836059,0.9742082560109258,0.027446424005940367,0.032222972605829556,0.031593127644589235
3,lucene,,0.062,41.373,172,860,833,0.9686046511627907,0.7465473582538308,0.8264295210638591,0.9546699803204967,0.035510476854211714,0.05145315281913744,0.05139548902220606
4,ii-svd-blend,0.3,0.187,457.836,172,860,860,1.0,0.6928191011927546,0.7670591736933154,0.9743431601874641,0.05922732495980656,0.0915152826955293,0.10066692214475136
3,ii,,40.961,103.319,172,860,860,1.0,0.7198473541035216,0.7930093781139226,0.9709731388665434,0.03330735840789335,0.043198064005897534,0.04617459116770621
4,lucene-svd-blend,0,0.111,296.436,172,860,860,1.0,0.7148198118923222,0.791373714426342,0.9731288241456741,0.02421500498918751,0.026335273584848627,0.026049900043661135
4,ii-svd-blend,0.2,0.194,453.601,172,860,860,1.0,0.6961718973821477,0.7712257861749727,0.9735163434229874,0.05599153118900414,0.07379471379074988,0.08512360267012835
4,ii-svd-blend,0.1,0.339,456.652,172,860,860,1.0,0.700432906294312,0.7763351536099727,0.9724415293297143,0.05136255706573616,0.06583583752539203,0.0751808148534855
3,lucene-svd-blend,1.0,54.814,264.983,172,860,860,1.0,0.7189687019592935,0.7940394552849339,0.9721622875513888,0.05568112410386394,0.0831523855640454,0.09056541071777753
4,ii-svd-blend,0,0.23600000000000002,452.03000000000003,172,860,860,1.0,0.7055978442908134,0.7823688058424351,0.971506745102782,0.04800454493345047,0.060938655879972436,0.07109589799865886
3,lucene-svd-blend,0.9,0.112,264.83,172,860,860,1.0,0.7135845010967243,0.7887666042966236,0.9728939667719758,0.05864653923550603,0.08506361904909825,0.09438055432880081
1,ii-svd-blend,0.3,0.5660000000000001,451.45,173,865,865,1.0,0.7049646243103695,0.7910288860212554,0.9731987840488135,0.04190374015351906,0.06310453979618406,0.06730040123116934
3,lucene-svd-blend,0.8,0.101,268.18,172,860,860,1.0,0.7099135483180492,0.7854293508777297,0.9735654352592147,0.06321764366528998,0.09272489070467488,0.10189863337367461
3,ii-svd-blend,1.0,0.46,422.91700000000003,172,860,860,1.0,0.7189687019592935,0.7940394552849339,0.9721622875513888,0.05568112410386394,0.0831523855640454,0.09056541071777753
3,ii-svd-blend,0.9,0.194,422.935,172,860,860,1.0,0.7156871784098614,0.7902476718034139,0.9720916677863869,0.05625469825900548,0.08282995996532397,0.0923901458052115
3,lucene-svd-blend,0.7,0.10400000000000001,267.72,172,860,860,1.0,0.7079979621830428,0.7840524115446313,0.9740446985284162,0.06266738305174599,0.10192967841502454,0.10807962589876138
3,lucene-svd-blend,0.6,0.108,266.635,172,860,860,1.0,0.7078738512076055,0.7846461065600504,0.9742423171422318,0.05912846986641194,0.094599655401862,0.10054972396884158
3,ii-svd-blend,0.8,0.188,418.089,172,860,860,1.0,0.7131075270031277,0.7872628088829593,0.9717976473765272,0.05522429919889551,0.08216621360935206,0.08965165749702973
1,lucene-svd-blend,0.3,0.147,278.779,173,865,865,1.0,0.7079598879659902,0.8080542257937362,0.9711547060761809,0.046095899747772645,0.06702072150704266,0.07001499420851755
3,lucene-svd-blend,0.5,0.14,271.081,172,860,860,1.0,0.7095591634948456,0.7872059772974889,0.9741342996065613,0.0542669664564508,0.08560573877307952,0.0914098345481055
3,ii-svd-blend,0.7,0.313,423.844,172,860,860,1.0,0.7112499882733944,0.7850940701138353,0.9722346621797547,0.05756139489090018,0.0848107891236857,0.09358296588303051
3,ii-svd-blend,0.6,0.17500000000000002,425.55,172,860,860,1.0,0.7101356653429363,0.7837482305074616,0.9721093194132604,0.055918246256093054,0.08540286509007063,0.09416016646023108
3,lucene-svd-blend,0.4,0.11900000000000001,267.047,172,860,860,1.0,0.7130313312593768,0.7917129520906525,0.9731448482154761,0.05178547948363987,0.08207394145172943,0.08702272329004615
3,lucene-svd-blend,0.3,0.094,271.455,172,860,860,1.0,0.7182307024123206,0.7981340463765799,0.9728978440821979,0.04789184950240323,0.06991206135416284,0.07772404444271372
3,ii-svd-blend,0.5,0.176,423.16200000000003,172,860,860,1.0,0.7097853164664871,0.7832295320896013,0.9725670918934111,0.05271598823960932,0.08032610654699177,0.0876812191346625
3,lucene-svd-blend,0.2,0.094,263.349,172,860,860,1.0,0.7250893564316068,0.8064235383004161,0.9730200784384045,0.04371600302786082,0.060383690309706986,0.06440836030884614
